tier,archive_index,species,form,held_item,move_1,move_2,move_3,move_4,nature,ev_distribution,ev_hp,ev_attack,ev_defense,ev_speed,ev_sp_attack,ev_sp_defense,player_ivs,opponent_ivs,ability_rule,gender_rule,friendship,availability,trainer_ids,trainer_id_classes,ability_slots,sex_vector
Winnie (Office Worker) / Prudence (Office Worker) / Dominica (Office Worker) / Ryder (Rising Star) / Beatrice (Rising Star) / Cheryl (Madame),10,Delphox,Default,Petaya Berry,Confide,Psychic,Flamethrower,Round,Timid,255 Speed / 255 Sp. Atk,0,0,0,255,255,0,31 in every stat (Battle Agency/rental constructor),"19,23 in every stat (trainer-ID dependent)",Random ability index 0/1/2 (personal slots 66/66/170),PID-derived species ratio (sex_vector=31),255,Battle Tree NPC / Battle Agency,"27,28,29,44,47,65",Trainer IDs 0-49 (19 IV); Trainer IDs 50-69 (23 IV),66/66/170,31
Kass (Punk Guy) / Scoop (Punk Guy) / Dylan (Punk Guy) / Evander (Punk Guy) / Ryder (Rising Star) / Beatrice (Rising Star) / Duncan (Collector) / Nobunaga (Collector),11,Greninja,Default,Leftovers,Mat Block,Spikes,Scald,Toxic,Calm,255 Defense / 255 Sp. Def,0,0,255,0,0,255,31 in every stat (Battle Agency/rental constructor),"19,23 in every stat (trainer-ID dependent)",Random ability index 0/1/2 (personal slots 67/67/168),PID-derived species ratio (sex_vector=31),255,Battle Tree NPC / Battle Agency,"30,31,32,33,44,47,68,69",Trainer IDs 0-49 (19 IV); Trainer IDs 50-69 (23 IV),67/67/168,31
Sophia (Lass) / Shanta (Lass) / Rachel (Lass) / Chan (Lass) / Mercy (Preschooler) / Helen (Preschooler) / Gladys (Preschooler) / Kaula (Sightseer) / Charlene (Sightseer),12,Gogoat,Default,Yache Berry,Substitute,Horn Leech,Bulk Up,Payback,Impish,255 Defense / 255 Sp. Def,0,0,255,0,0,255,31 in every stat (Battle Agency/rental constructor),"19,23 in every stat (trainer-ID dependent)",Random ability index 0/1/2 (personal slots 157/157/179),PID-derived species ratio (sex_vector=127),255,Battle Tree NPC / Battle Agency,"4,5,6,7,13,14,15,53,54",Trainer IDs 0-49 (19 IV); Trainer IDs 50-69 (23 IV),157/157/179,127
Kass (Punk Guy) / Scoop (Punk Guy) / Dylan (Punk Guy) / Evander (Punk Guy) / Myrna (Punk Girl) / Eva (Punk Girl) / Agrata (Punk Girl) / Abby (Punk Girl) / Parker (Youth Athlete) / Isaac (Youth Athlete) / Ayden (Youth Athlete) / Alwyn (Youth Athlete) / Mardea (Youth Athlete) / Gabriella (Youth Athlete),13,Noivern,Default,Yache Berry,Super Fang,Boomburst,Round,Torment,Timid,255 Speed / 255 Sp. Atk,0,0,0,255,255,0,31 in every stat (Battle Agency/rental constructor),19 in every stat (trainer-ID dependent),Random ability index 0/1/2 (personal slots 119/151/140),PID-derived species ratio (sex_vector=127),255,Battle Tree NPC / Battle Agency,"30,31,32,33,34,35,36,37,38,39,40,41,42,43",Trainer IDs 0-49 (19 IV),119/151/140,127
Winnie (Office Worker) / Prudence (Office Worker) / Dominica (Office Worker) / Alwyn (Youth Athlete) / Mardea (Youth Athlete) / Gabriella (Youth Athlete) / Cooper (Sightseer) / Darien (Sightseer) / Cheryl (Madame),14,Florges,Default,Babiri Berry,Flower Shield,Dazzling Gleam,Energy Ball,Wish,Sassy,255 Defense / 255 Sp. Def,0,0,255,0,0,255,31 in every stat (Battle Agency/rental constructor),"19,23 in every stat (trainer-ID dependent)",Random ability index 0/1/2 (personal slots 166/166/180),Female-only,255,Battle Tree NPC / Battle Agency,"27,28,29,41,42,43,50,51,65",Trainer IDs 0-49 (19 IV); Trainer IDs 50-69 (23 IV),166/166/180,254
Winnie (Office Worker) / Prudence (Office Worker) / Dominica (Office Worker) / Myrna (Punk Girl) / Eva (Punk Girl) / Agrata (Punk Girl) / Abby (Punk Girl) / Sorley (Rising Star) / Marsha (Rising Star) / Skip (Worker),15,Goodra,Default,Lax Incense,Substitute,Muddy Water,Dragon Pulse,Sludge Wave,Modest,255 Sp. Atk / 255 Sp. Def,0,0,0,0,255,255,31 in every stat (Battle Agency/rental constructor),"19,23 in every stat (trainer-ID dependent)",Random ability index 0/1/2 (personal slots 157/93/183),PID-derived species ratio (sex_vector=127),255,Battle Tree NPC / Battle Agency,"27,28,29,34,35,36,37,46,49,59",Trainer IDs 0-49 (19 IV); Trainer IDs 50-69 (23 IV),157/93/183,127
Percy (Office Worker) / Conley (Office Worker) / Emery (Office Worker) / Kass (Punk Guy) / Scoop (Punk Guy) / Dylan (Punk Guy) / Evander (Punk Guy) / Duncan (Collector) / Nobunaga (Collector),16,Trevenant,Default,Wise Glasses,Psychic,Shadow Ball,Energy Ball,Round,Modest,255 Sp. Atk / 255 Sp. Def,0,0,0,0,255,255,31 in every stat (Battle Agency/rental constructor),"19,23 in every stat (trainer-ID dependent)",Random ability index 0/1/2 (personal slots 30/119/139),PID-derived species ratio (sex_vector=127),255,Battle Tree NPC / Battle Agency,"24,25,26,30,31,32,33,68,69",Trainer IDs 0-49 (19 IV); Trainer IDs 50-69 (23 IV),30/119/139,127
Buster (Hiker) / Myrna (Punk Girl) / Eva (Punk Girl) / Agrata (Punk Girl) / Abby (Punk Girl) / Cooper (Sightseer) / Darien (Sightseer) / Cheryl (Madame),17,Gourgeist,Default,Sitrus Berry,Will-O-Wisp,Trick-or-Treat,Pain Split,Phantom Force,Impish,255 HP / 255 Defense,255,0,255,0,0,0,31 in every stat (Battle Agency/rental constructor),"19,23 in every stat (trainer-ID dependent)",Random ability index 0/1/2 (personal slots 53/119/15),PID-derived species ratio (sex_vector=127),255,Battle Tree NPC / Battle Agency,"21,34,35,36,37,50,51,65",Trainer IDs 0-49 (19 IV); Trainer IDs 50-69 (23 IV),53/119/15,127
Cooper (Sightseer) / Darien (Sightseer) / Jairo (Janitor),18,Clawitzer,Default,Bright Powder,Heal Pulse,Muddy Water,Double Team,Confide,Calm,255 Defense / 255 Sp. Def,0,0,255,0,0,255,31 in every stat (Battle Agency/rental constructor),23 in every stat (trainer-ID dependent),Random ability index 0/1/2 (personal slots 178/178/178),PID-derived species ratio (sex_vector=127),255,Battle Tree NPC / Battle Agency,"50,51,56",Trainer IDs 50-69 (23 IV),178/178/178,127
Florian (Youngster) / Robin (Youngster) / Max (Youngster) / Bert (Youngster) / Kass (Punk Guy) / Scoop (Punk Guy) / Dylan (Punk Guy) / Evander (Punk Guy) / Myrna (Punk Girl) / Eva (Punk Girl) / Agrata (Punk Girl) / Abby (Punk Girl) / Ryder (Rising Star) / Beatrice (Rising Star),19,Beedrill,Default,Expert Belt,Poison Jab,Pursuit,Fell Stinger,Toxic,Adamant,255 Attack / 255 Speed,0,255,0,255,0,0,31 in every stat (Battle Agency/rental constructor),19 in every stat (trainer-ID dependent),Random ability index 0/1/2 (personal slots 68/68/97),PID-derived species ratio (sex_vector=127),255,Battle Tree NPC / Battle Agency,"0,1,2,3,30,31,32,33,34,35,36,37,44,47",Trainer IDs 0-49 (19 IV),68/68/97,127
Florian (Youngster) / Robin (Youngster) / Max (Youngster) / Bert (Youngster) / Sophia (Lass) / Shanta (Lass) / Rachel (Lass) / Chan (Lass) / Ferdinand (Preschooler) / Rico (Preschooler) / Jasper (Preschooler) / Mercy (Preschooler) / Helen (Preschooler) / Gladys (Preschooler) / Winnie (Office Worker) / Prudence (Office Worker) / Dominica (Office Worker),20,Aromatisse,Default,Lax Incense,Charm,Sweet Kiss,Attract,Draining Kiss,Calm,255 HP / 255 Sp. Def,255,0,0,0,0,255,31 in every stat (Battle Agency/rental constructor),19 in every stat (trainer-ID dependent),Random ability index 0/1/2 (personal slots 131/131/165),PID-derived species ratio (sex_vector=127),255,Battle Tree NPC / Battle Agency,"0,1,2,3,4,5,6,7,8,9,11,13,14,15,27,28,29",Trainer IDs 0-49 (19 IV),131/131/165,127
Florian (Youngster) / Robin (Youngster) / Max (Youngster) / Bert (Youngster) / Ferdinand (Preschooler) / Rico (Preschooler) / Jasper (Preschooler) / Mercy (Preschooler) / Helen (Preschooler) / Gladys (Preschooler) / Darla (Backpacker) / Kayla (Backpacker) / Buster (Hiker) / Xaden (Janitor) / Giles (Janitor),21,Minior,Meteor,Light Clay,U-turn,Rock Tomb,Light Screen,Reflect,Sassy,255 HP / 255 Sp. Def,255,0,0,0,0,255,31 in every stat (Battle Agency/rental constructor),"19,23 in every stat (trainer-ID dependent)",Random ability index 0/1/2 (personal slots 197/197/197),Genderless,255,Battle Tree NPC / Battle Agency,"0,1,2,3,8,9,11,13,14,15,16,19,21,57,58",Trainer IDs 0-49 (19 IV); Trainer IDs 50-69 (23 IV),197/197/197,255
Florian (Youngster) / Robin (Youngster) / Max (Youngster) / Bert (Youngster) / Sophia (Lass) / Shanta (Lass) / Rachel (Lass) / Chan (Lass) / Hart (Sightseer) / Odessa (Sightseer) / Cheryl (Madame),22,Oricorio,Sensu,Weakness Policy,Revelation Dance,Pluck,Calm Mind,Baton Pass,Calm,255 HP / 255 Sp. Def,255,0,0,0,0,255,31 in every stat (Battle Agency/rental constructor),"19,23 in every stat (trainer-ID dependent)",Random ability index 0/1/2 (personal slots 216/216/216),PID-derived species ratio (sex_vector=191),255,Battle Tree NPC / Battle Agency,"0,1,2,3,4,5,6,7,52,55,65",Trainer IDs 0-49 (19 IV); Trainer IDs 50-69 (23 IV),216/216/216,191
Sophia (Lass) / Shanta (Lass) / Rachel (Lass) / Chan (Lass) / Darla (Backpacker) / Kayla (Backpacker) / Buster (Hiker) / Arlo (Hiker) / Levine (Hiker) / Parker (Youth Athlete) / Isaac (Youth Athlete) / Ayden (Youth Athlete) / Alwyn (Youth Athlete) / Mardea (Youth Athlete) / Gabriella (Youth Athlete) / Xaden (Janitor) / Giles (Janitor),23,Lycanroc,Midday,Rockium Z,Stealth Rock,Accelerock,Rock Polish,Rock Climb,Naughty,170 HP / 170 Attack / 170 Defense,170,170,170,0,0,0,31 in every stat (Battle Agency/rental constructor),"19,23 in every stat (trainer-ID dependent)",Random ability index 0/1/2 (personal slots 51/146/80),PID-derived species ratio (sex_vector=127),255,Battle Tree NPC / Battle Agency,"4,5,6,7,16,19,21,22,23,38,39,40,41,42,43,57,58",Trainer IDs 0-49 (19 IV); Trainer IDs 50-69 (23 IV),51/146/80,127
Florian (Youngster) / Robin (Youngster) / Max (Youngster) / Bert (Youngster) / Ferdinand (Preschooler) / Rico (Preschooler) / Jasper (Preschooler) / Mercy (Preschooler) / Helen (Preschooler) / Gladys (Preschooler) / Darla (Backpacker) / Kayla (Backpacker) / Winnie (Office Worker) / Prudence (Office Worker) / Dominica (Office Worker),24,Comfey,Default,Petaya Berry,Energy Ball,Flower Shield,Dazzling Gleam,Endure,Modest,255 HP / 255 Sp. Atk,255,0,0,0,255,0,31 in every stat (Battle Agency/rental constructor),19 in every stat (trainer-ID dependent),Random ability index 0/1/2 (personal slots 166/205/30),PID-derived species ratio (sex_vector=191),255,Battle Tree NPC / Battle Agency,"0,1,2,3,8,9,11,13,14,15,16,19,27,28,29",Trainer IDs 0-49 (19 IV),166/205/30,191
Florian (Youngster) / Robin (Youngster) / Max (Youngster) / Bert (Youngster) / Kass (Punk Guy) / Scoop (Punk Guy) / Dylan (Punk Guy) / Evander (Punk Guy) / Myrna (Punk Girl) / Eva (Punk Girl) / Agrata (Punk Girl) / Abby (Punk Girl) / Jairo (Janitor),25,Toxapex,Default,Poisonium Z,Toxic Spikes,Venom Drench,Venoshock,Scald,Sassy,170 HP / 170 Defense / 170 Sp. Def,170,0,170,0,0,170,31 in every stat (Battle Agency/rental constructor),"19,23 in every stat (trainer-ID dependent)",Random ability index 0/1/2 (personal slots 196/7/144),PID-derived species ratio (sex_vector=127),255,Battle Tree NPC / Battle Agency,"0,1,2,3,30,31,32,33,34,35,36,37,56",Trainer IDs 0-49 (19 IV); Trainer IDs 50-69 (23 IV),196/7/144,127
Florian (Youngster) / Robin (Youngster) / Max (Youngster) / Bert (Youngster) / Ferdinand (Preschooler) / Rico (Preschooler) / Jasper (Preschooler) / Sorley (Rising Star) / Beatrice (Rising Star) / Marsha (Rising Star) / Hart (Sightseer) / Odessa (Sightseer) / Zero (Bellhop) / Noah (Cook),26,Golisopod,Default,Eject Button,First Impression,Struggle Bug,Scald,Ice Beam,Modest,255 HP / 255 Sp. Atk,255,0,0,0,255,0,31 in every stat (Battle Agency/rental constructor),"19,23,27 in every stat (trainer-ID dependent)",Random ability index 0/1/2 (personal slots 194/194/194),PID-derived species ratio (sex_vector=127),255,Battle Tree NPC / Battle Agency,"0,1,2,3,8,9,11,46,47,49,52,55,84,87",Trainer IDs 0-49 (19 IV); Trainer IDs 50-69 (23 IV); Trainer IDs 70-89 (27 IV),194/194/194,127
Rocky (Preschooler) / Kendra (Preschooler) / Darla (Backpacker) / Kayla (Backpacker) / Winnie (Office Worker) / Prudence (Office Worker) / Dominica (Office Worker) / Ikram (Gentleman) / Jerry (Gentleman) / Cheryl (Madame) / Kiernan (Pokémon Breeder) / Gertrude (Pokémon Breeder),27,Lurantis,Default,Heat Rock,Solar Beam,Weather Ball,Sunny Day,Synthesis,Modest,255 Sp. Atk / 255 Sp. Def,0,0,0,0,255,255,31 in every stat (Battle Agency/rental constructor),"19,23,27 in every stat (trainer-ID dependent)",Random ability index 0/1/2 (personal slots 102/102/126),PID-derived species ratio (sex_vector=127),255,Battle Tree NPC / Battle Agency,"10,12,16,19,27,28,29,63,64,65,78,81",Trainer IDs 0-49 (19 IV); Trainer IDs 50-69 (23 IV); Trainer IDs 70-89 (27 IV),102/102/126,127
Florian (Youngster) / Robin (Youngster) / Max (Youngster) / Bert (Youngster) / Sophia (Lass) / Shanta (Lass) / Rachel (Lass) / Chan (Lass) / Ferdinand (Preschooler) / Rico (Preschooler) / Jasper (Preschooler) / Mercy (Preschooler) / Helen (Preschooler) / Gladys (Preschooler) / Winnie (Office Worker) / Prudence (Office Worker) / Dominica (Office Worker),28,Ribombee,Default,Big Root,Substitute,Leech Life,Draining Kiss,Stun Spore,Naive,255 HP / 255 Speed,255,0,0,255,0,0,31 in every stat (Battle Agency/rental constructor),19 in every stat (trainer-ID dependent),Random ability index 0/1/2 (personal slots 118/19/175),PID-derived species ratio (sex_vector=127),255,Battle Tree NPC / Battle Agency,"0,1,2,3,4,5,6,7,8,9,11,13,14,15,27,28,29",Trainer IDs 0-49 (19 IV),118/19/175,127
Florian (Youngster) / Robin (Youngster) / Max (Youngster) / Bert (Youngster) / Percy (Office Worker) / Conley (Office Worker) / Emery (Office Worker) / Skip (Worker),29,Vikavolt,Default,Focus Band,Charge Beam,Energy Ball,Mud-Slap,Charge,Quiet,255 Defense / 255 Sp. Atk,0,0,255,0,255,0,31 in every stat (Battle Agency/rental constructor),"19,23 in every stat (trainer-ID dependent)",Random ability index 0/1/2 (personal slots 26/26/26),PID-derived species ratio (sex_vector=127),255,Battle Tree NPC / Battle Agency,"0,1,2,3,24,25,26,59",Trainer IDs 0-49 (19 IV); Trainer IDs 50-69 (23 IV),26/26/26,127
Darla (Backpacker) / Kayla (Backpacker) / Buster (Hiker) / Alwyn (Youth Athlete) / Mardea (Youth Athlete) / Gabriella (Youth Athlete) / Xaden (Janitor) / Giles (Janitor),30,Mudsdale,Default,Sitrus Berry,Counter,Rest,Sleep Talk,Payback,Sassy,255 HP / 255 Sp. Def,255,0,0,0,0,255,31 in every stat (Battle Agency/rental constructor),"19,23 in every stat (trainer-ID dependent)",Random ability index 0/1/2 (personal slots 20/192/39),PID-derived species ratio (sex_vector=127),255,Battle Tree NPC / Battle Agency,"16,19,21,41,42,43,57,58",Trainer IDs 0-49 (19 IV); Trainer IDs 50-69 (23 IV),20/192/39,127
Buster (Hiker) / Percy (Office Worker) / Conley (Office Worker) / Emery (Office Worker) / Ryder (Rising Star) / Beatrice (Rising Star) / Duncan (Collector) / Nobunaga (Collector),31,Decidueye,Default,Flyinium Z,Brave Bird,Feather Dance,Ominous Wind,Defog,Naive,170 HP / 170 Attack / 170 Speed,170,170,0,170,0,0,31 in every stat (Battle Agency/rental constructor),"19,23 in every stat (trainer-ID dependent)",Random ability index 0/1/2 (personal slots 65/65/203),PID-derived species ratio (sex_vector=31),255,Battle Tree NPC / Battle Agency,"21,24,25,26,44,47,68,69",Trainer IDs 0-49 (19 IV); Trainer IDs 50-69 (23 IV),65/65/203,31
Florian (Youngster) / Robin (Youngster) / Max (Youngster) / Bert (Youngster) / Ryder (Rising Star) / Beatrice (Rising Star) / Hart (Sightseer) / Odessa (Sightseer),32,Incineroar,Default,Razor Fang,Brutal Swing,Fire Fang,Bulk Up,Lick,Naughty,255 Attack / 255 Speed,0,255,0,255,0,0,31 in every stat (Battle Agency/rental constructor),"19,23 in every stat (trainer-ID dependent)",Random ability index 0/1/2 (personal slots 66/66/22),PID-derived species ratio (sex_vector=31),255,Battle Tree NPC / Battle Agency,"0,1,2,3,44,47,52,55",Trainer IDs 0-49 (19 IV); Trainer IDs 50-69 (23 IV),66/66/22,31
Sophia (Lass) / Shanta (Lass) / Rachel (Lass) / Chan (Lass) / Sorley (Rising Star) / Beatrice (Rising Star) / Marsha (Rising Star),33,Primarina,Default,Mystic Water,Bubble Beam,Shadow Ball,Energy Ball,Aqua Ring,Lax,255 HP / 255 Sp. Def,255,0,0,0,0,255,31 in every stat (Battle Agency/rental constructor),19 in every stat (trainer-ID dependent),Random ability index 0/1/2 (personal slots 67/67/204),PID-derived species ratio (sex_vector=31),255,Battle Tree NPC / Battle Agency,"4,5,6,7,46,47,49",Trainer IDs 0-49 (19 IV),67/67/204,31
Ryder (Rising Star),34,Araquanid,Default,Bright Powder,Double Team,Toxic,Stockpile,Aqua Ring,Relaxed,255 HP / 255 Defense,255,0,255,0,0,0,31 in every stat (Battle Agency/rental constructor),19 in every stat (trainer-ID dependent),Random ability index 0/1/2 (personal slots 199/199/11),PID-derived species ratio (sex_vector=127),255,Battle Tree NPC / Battle Agency,44,Trainer IDs 0-49 (19 IV),199/199/11,127
Sophia (Lass) / Shanta (Lass) / Rachel (Lass) / Chan (Lass) / Ferdinand (Preschooler) / Rico (Preschooler) / Jasper (Preschooler) / Mercy (Preschooler) / Helen (Preschooler) / Gladys (Preschooler) / Winnie (Office Worker) / Prudence (Office Worker) / Dominica (Office Worker),35,Bewear,Default,Persim Berry,Thrash,Brutal Swing,Low Sweep,Wide Guard,Sassy,255 Attack / 255 Sp. Def,0,255,0,0,0,255,31 in every stat (Battle Agency/rental constructor),19 in every stat (trainer-ID dependent),Random ability index 0/1/2 (personal slots 218/103/127),PID-derived species ratio (sex_vector=127),255,Battle Tree NPC / Battle Agency,"4,5,6,7,8,9,11,13,14,15,27,28,29",Trainer IDs 0-49 (19 IV),218/103/127,127
Ferdinand (Preschooler) / Rico (Preschooler) / Jasper (Preschooler) / Percy (Office Worker) / Conley (Office Worker) / Emery (Office Worker) / Jairo (Janitor),36,Turtonator,Default,Rocky Helmet,Shell Trap,Dragon Tail,Fire Spin,Taunt,Sassy,255 HP / 255 Sp. Def,255,0,0,0,0,255,31 in every stat (Battle Agency/rental constructor),"19,23 in every stat (trainer-ID dependent)",Random ability index 0/1/2 (personal slots 75/75/75),PID-derived species ratio (sex_vector=127),255,Battle Tree NPC / Battle Agency,"8,9,11,24,25,26,56",Trainer IDs 0-49 (19 IV); Trainer IDs 50-69 (23 IV),75/75/75,127
Florian (Youngster) / Robin (Youngster) / Max (Youngster) / Bert (Youngster) / Buster (Hiker) / Christopher (Rising Star) / Sorley (Rising Star) / Brandi (Rising Star) / Marsha (Rising Star) / Jairo (Janitor),37,Bruxish,Default,Wacan Berry,Psychic,Scald,Blizzard,Disable,Modest,255 HP / 255 Sp. Atk,255,0,0,0,255,0,31 in every stat (Battle Agency/rental constructor),"19,23 in every stat (trainer-ID dependent)",Random ability index 0/1/2 (personal slots 219/173/147),PID-derived species ratio (sex_vector=127),255,Battle Tree NPC / Battle Agency,"0,1,2,3,21,45,46,48,49,56",Trainer IDs 0-49 (19 IV); Trainer IDs 50-69 (23 IV),219/173/147,127
Darla (Backpacker) / Kayla (Backpacker) / Cleavant (Hiker) / Parker (Youth Athlete) / Isaac (Youth Athlete) / Ayden (Youth Athlete) / Duncan (Collector) / Nobunaga (Collector),38,Drampa,Default,Shell Bell,Thunderbolt,Flamethrower,Surf,Dragon Pulse,Lax,255 HP / 255 Defense,255,0,255,0,0,0,31 in every stat (Battle Agency/rental constructor),"19,23 in every stat (trainer-ID dependent)",Random ability index 0/1/2 (personal slots 201/157/13),PID-derived species ratio (sex_vector=127),255,Battle Tree NPC / Battle Agency,"16,19,20,38,39,40,68,69",Trainer IDs 0-49 (19 IV); Trainer IDs 50-69 (23 IV),201/157/13,127
